main/aqi,components/co,components/no,components/no2,components/o3,components/so2,components/pm2_5,components/pm10,components/nh3,dt
1,208.62,0,0.74,55.08,1.01,1.45,1.45,0,1606266000
1,208.62,0,0.85,54.36,0.92,1.33,1.33,0.01,1606269600
1,210.29,0,1.01,52.93,0.98,1.36,1.37,0.01,1606273200
1,210.29,0,1.01,53.64,1.06,1.37,1.37,0.01,1606276800
1,208.62,0,0.89,55.08,1.1,1.29,1.29,0.01,1606280400
1,206.95,0.01,0.83,56.51,1.16,1.18,1.19,0.01,1606284000
1,206.95,0.02,0.75,57.22,1.25,1.06,1.07,0.01,1606287600
1,206.95,0.02,0.7,56.51,1.33,0.92,0.93,0.01,1606291200
1,208.62,0.02,0.72,54.36,1.4,0.84,0.84,0.01,1606294800
1,210.29,0.02,0.84,50.78,1.34,0.87,0.88,0.01,1606298400
1,213.62,0.02,1.06,46.49,1.19,1.02,1.03,0.01,1606302000
1,220.3,0.01,1.52,41.49,1.03,1.26,1.27,0.02,1606305600
1,223.64,0,2.23,37.19,0.85,1.67,1.68,0.02,1606309200
1,233.65,0,2.96,33.26,0.69,2.18,2.19,0.02,1606312800
1,240.33,0,3.68,30.4,0.58,2.65,2.66,0.03,1606316400
1,250.34,0,4.2,28.25,0.56,3.04,3.05,0.03,1606320000
1,257.02,0,4.54,26.11,0.55,3.54,3.55,0.02,1606323600
1,260.35,0,4.93,23.96,0.47,4.16,4.17,0.03,1606327200
1,267.03,0,5.27,21.64,0.32,4.55,4.56,0.03,1606330800
1,270.37,0,5.18,21.1,0.21,4.47,4.48,0.03,1606334400
1,267.03,0,4.41,23.25,0.14,3.98,3.99,0.05,1606338000
1,260.35,0,3.51,25.75,0.1,3.47,3.5,0.05,1606341600
1,257.02,0,3,26.82,0.12,3.22,3.27,0.05,1606345200
1,253.68,0,2.96,27.18,0.19,3.14,3.21,0.05,1606348800
1,257.02,0,3.04,26.46,0.29,3.16,3.25,0.03,1606352400
1,257.02,0,3.04,26.46,0.4,3.05,3.13,0.02,1606356000
1,253.68,0,2.91,26.82,0.46,2.89,2.94,0.02,1606359600
1,253.68,0,2.79,27.54,0.47,2.68,2.72,0.02,1606363200
1,250.34,0,2.66,27.9,0.45,2.5,2.53,0.03,1606366800
1,250.34,0.04,2.64,28.61,0.42,2.28,2.31,0.04,1606370400
1,243.66,0.12,2.23,30.04,0.37,1.87,1.9,0.05,1606374000
